a,b,c,d,e,f,g,h,i,j,k
0.960529426,0.886787993,0.966201844,1.017253604,0.835736233,1.041834082,0.954857008,1.049397306,1.075868589,0.824391397,1.032380052
0.813046561,0.839517844,1.19688017,1.162845663,1.089104231,1.060742141,0.94918459,0.990782321,1.000236351,1.142046797,1.064523753
1.0475065,1.092885843,0.888678799,1.007799575,1.045615694,1.066414559,0.954857008,1.011581186,1.011581186,1.02859844,1.034270858
1.149610021,1.089104231,1.051288112,1.049397306,1.151500827,1.068305365,1.03805247,1.138265186,0.777121248,0.735523517,0.971874261
0.847081068,1.060742141,0.843299456,1.12692035,1.100449066,0.926494918,0.915150083,1.064523753,1.100449066,1.106121484,1.242259513
0.867879934,0.888678799,1.073977783,1.062632947,1.100449066,1.01914441,0.956747814,0.847081068,1.036161664,1.0475065,1.096667455
0.867879934,1.085322619,0.990782321,0.952966202,1.021035216,1.015362798,0.79035689,1.0475065,0.663672891,1.034270858,1.102339872
1.089104231,1.142046797,0.975655873,1.053178918,1.073977783,1.113684708,1.004017963,0.998345545,1.145828409,1.157173245,1.138265186
1.092201944,0.864659872,0.900687367,1.137710358,0.843801849,0.817255274,1.169945485,1.033420242,1.041004977,0.989808011,0.989808011
0.91206447,1.033420242,0.87793316,0.862763688,1.041004977,0.900687367,0.993600379,1.03721261,1.139606542,1.082721024,1.097890495
0.961365252,1.025835506,1.052382081,1.048589713,1.061863001,1.24958521,0.908272102,0.917753022,1.147191278,1.099786679,0.940507229
1.221142451,1.031524058,1.03721261,1.137710358,1.145295094,1.003081299,1.114956151,1.393695188,1.126333254,1.111163783,1.082721024
1.160464565,1.012562219,0.98411946,0.968949988,0.953780517,1.141502726,1.166153117,1.272339417,1.078928656,1.023939322,1.004977483
1.242000474,0.955676701,0.811566722,1.041004977,1.041004977,0.980327092,0.813462906,1.010666035,1.058070633,1.067551553,0.796397251
1.242000474,1.008769851,1.029627874,1.016354586,0.870348424,1.010666035,0.995496563,0.934818677,1.048589713,1.139606542,1.12443707
0.938611045,1.232519554,1.058070633,1.035316426,0.970846172,1.02773169,1.001185115,1.09030576,1.114956151,1.126333254,0.942403413
0.847726325,0.887776387,0.872757614,0.867751356,1.00458907,0.937838965,0.994576554,0.981226533,0.942845223,0.946182728,1.017939091
0.977889028,0.979557781,0.81935753,0.806007509,0.971214018,0.859407593,0.856070088,0.877763872,0.85773884,0.924488945,0.937838965
0.672507301,0.745932416,0.901126408,0.822695035,0.917813934,0.912807676,0.901126408,0.872757614,0.88944514,0.884438882,0.785982478
0.899457655,0.852732582,0.887776387,0.877763872,0.719232374,0.954526491,0.836045056,1.016270338,0.867751356,0.834376304,0.859407593
0.974551523,0.921151439,0.886107635,0.871088861,0.897788903,0.984564038,0.924488945,0.936170213,0.969545265,0.894451398,0.959532749
0.991239049,0.879432624,0.952857739,0.854401335,0.745932416,0.839382562,0.869420108,0.882770129,0.881101377,0.864413851,0.937838965
0.877763872,0.912807676,0.944513976,0.954526491,0.919482687,0.891113892,0.881101377,0.916145181,0.939507718,0.914476429,0.951188986
0.949520234,1.012932833,1.001251564,1.059657906,1.009595327,1.068001669,1.017939091,0.747601168,1.104714226,1.139758031,1.188151856
0.938905859,0.925298528,0.90002777,0.938905859,0.944737573,0.962232713,0.841710636,0.954457095,0.948625382,0.935018051,0.985559567
1.086642599,1.164398778,1.10413774,1.216884199,1.109969453,1.078866981,0.956401,1.090530408,1.006942516,1.096362122,1.014718134
1.036101083,1.092474313,1.041932796,1.036101083,1.178006109,1.131352402,1.131352402,1.03026937,1.053596223,1.08275479,1.187725632
0.898083866,1.024437656,1.051652319,1.115801166,0.987503471,1.016662038,0.956401,0.84365454,0.888364343,0.960288809,0.997222994
0.938905859,0.971952235,0.983615662,1.006942516,1.08275479,0.985559567,1.028325465,0.989447376,0.876700916,0.954457095,1.045820605
0.901971675,0.962232713,0.940849764,0.884476534,1.032213274,0.888364343,0.993335185,0.938905859,0.849486254,1.03026937,1.00888642
1.183837823,1.259650097,1.306303804,1.271313524,1.302415996,1.343237989,1.271313524,1.189669536,1.152735351,1.498750347,1.347125798
0.915579006,0.901971675,0.927242433,0.905859483,0.872813107,0.970008331,1.026381561,0.940849764,0.820327687,0.886420439,0.938905859
0.829194121,1.040040547,0.960973137,0.859604663,0.914343639,0.916371009,0.902179422,0.920425748,0.967055246,0.987328941,1.080587937
1.100861632,0.954891029,1.005575266,1.025848961,1.046122656,0.971109985,0.896097314,0.979219463,0.91231627,1.046122656,1.033958439
1.056259503,1.062341612,0.91231627,0.942726812,1.080587937,1.005575266,1.015712114,0.960973137,1.056259503,0.965027876,1.058286873
1.033958439,1.040040547,1.017739483,0.91231627,0.973137354,0.999493158,0.922453117,0.936644703,0.86974151,1.084642676,1.044095286
0.995438419,1.005575266,0.952863659,0.971109985,0.936644703,0.997465788,0.985301571,0.928535226,0.898124683,1.013684744,1.009630005
0.9102889,0.926507856,0.963000507,0.956918398,0.963000507,0.928535226,0.979219463,1.009630005,0.94880892,0.985301571,0.977192093
0.969082615,1.058286873,0.914343639,0.985301571,1.023821591,1.046122656,0.94880892,0.999493158,1.10897111,1.115053218,1.121135327
0.772427775,0.971109985,0.983274202,0.894069944,0.936644703,0.906234161,0.887987836,1.035985808,1.076533198,1.017739483,1.054232134
0.714148219,0.821944177,0.972088547,0.856592878,0.958614052,1.000962464,0.900866218,0.835418672,0.692974013,0.833493744,0.789220404
0.881616939,0.877767084,0.945139557,1.002887392,0.812319538,0.712223292,0.918190568,0.787295476,0.800769971,1.037536092,1.016361886
0.952839269,1.064485082,0.999037536,1.043310876,1.03946102,1.064485082,1.031761309,0.866217517,0.910490857,0.914340712,0.950914341
1.074109721,0.900866218,0.958614052,0.99518768,1.051010587,1.149181906,1.03946102,0.945139557,1.024061598,1.000962464,0.900866218
0.937439846,0.843118383,0.897016362,0.820019249,0.962463908,0.914340712,0.887391723,0.779595765,0.927815207,1.002887392,0.981713186
1.149181906,0.939364774,0.873917228,0.864292589,0.91626564,0.935514918,0.993262753,0.943214629,1.000962464,0.972088547,0.900866218
1.187680462,0.937439846,0.895091434,0.754571704,0.941289702,0.964388835,0.908565929,1.060635226,0.922040423,1.027911453,1.139557267
0.845043311,1.097208855,0.823869105,0.93358999,1.064485082,1.08373436,0.99518768,1.031761309,1.087584216,0.866217517,1.266602502
0.622563821,0.737853418,0.793851222,0.810321164,0.881141916,0.836673072,0.835026077,0.8284381,0.856437002,0.947021685,0.919022783
0.810321164,0.864671974,0.892670876,0.825144112,0.904199835,0.815262147,0.90584683,0.854790008,0.932198737,0.971726599,0.951962668
0.788910239,0.810321164,0.810321164,0.853143014,0.825144112,0.823497118,0.930551743,0.85149602,0.96843261,0.986549547,0.953609662
0.919022783,0.597858907,0.632445786,0.798792204,0.782322262,0.841614054,0.947021685,1.014548449,1.068899259,0.961844634,1.001372495
0.838320066,0.747735383,0.737853418,0.76585232,0.729618446,0.891023881,0.93713972,0.923963766,0.935492726,1.024430414,0.976667582
0.571507,0.764205325,0.681855614,0.736206423,0.760911337,0.612681856,0.92561076,1.035959374,1.006313478,1.08866319,1.210540763
0.88278891,0.779028273,0.835026077,0.718089487,0.752676366,0.813615152,0.970079605,0.942080703,0.961844634,1.075487236,1.194070821
0.780675268,0.831732089,0.747735383,0.815262147,0.859730991,1.037606368,1.091957178,1.019489432,0.970079605,1.083722207,1.047488334
0.502020442,0.621820775,0.610411219,0.556215831,0.700261469,0.747325885,0.835749941,0.894223913,0.850011885,1.163774661,0.945566912
0.69740908,0.771571191,0.705966247,0.768718802,0.685999525,0.754456858,0.72308058,0.754456858,0.781554552,0.851438079,0.944140718
0.700261469,0.790111719,0.738768719,0.755883052,0.727359163,0.750178274,0.753030663,0.797242691,0.830045163,0.934157357,0.87425719
0.741621108,0.673163775,0.673163775,0.753030663,0.551937247,0.711671024,0.788685524,0.941288329,0.790111719,0.81293083,0.728785358
0.67173758,0.661754219,0.590444497,0.630377942,0.63323033,0.703113858,0.795816496,0.810078441,0.802947469,0.725932969,0.892797718
0.638935108,0.728785358,0.694556691,0.606132636,0.718801997,0.677442358,0.790111719,0.781554552,0.81293083,0.82576658,0.942714523
0.757309246,0.753030663,0.627525553,0.670311386,0.663180414,0.703113858,0.822914191,0.824340385,0.780128357,0.81293083,0.954124079
0.563346803,0.611837414,0.65890183,0.654623247,0.838602329,0.798668885,0.818635607,0.941288329,0.994057523,0.992631329,0.975516995
0.972060858,1.059197787,0.997233748,0.999170124,1.082434302,1.21604426,1.074688797,1.157952974,1.17538036,1.190871369,1.099861687
0.749377593,0.900414938,0.937206086,0.877178423,0.850069156,0.877178423,0.859751037,0.857814661,0.927524205,0.946887967,0.921715076
0.913969571,0.933333333,1.001106501,0.896542185,0.879114799,0.931396957,0.900414938,0.84813278,0.981742739,0.9197787,0.852005533
1.411618257,1.024343015,0.966251729,1.010788382,0.979806362,1.028215768,1.039834025,1.070816044,1.171507607,1.150207469,1.117289073
1.11922545,0.884923928,0.809405256,0.842323651,0.77648686,0.819087137,0.805532503,0.716459198,0.722268326,0.774550484,1.003042877
0.865560166,0.931396957,0.846196404,0.84813278,0.799723375,0.790041494,0.788105118,0.846196404,0.821023513,0.93526971,1.076625173
1.3593361,1.361272476,1.068879668,0.950760719,0.894605809,0.941078838,0.906224066,0.929460581,0.873305671,1.080497925,1.152143845
0.894605809,1.04757953,0.979806362,1.010788382,0.989488243,0.93526971,0.933333333,0.921715076,0.797786999,1.25670816,1.411618257
0.784046693,0.972762646,0.805447471,0.785992218,0.752918288,0.776264591,0.906614786,0.815175097,0.770428016,0.840466926,1.093385214
0.972762646,0.970817121,0.76459144,0.826848249,0.805447471,0.750972763,0.817120623,0.838521401,0.819066148,0.89688716,0.982490272
0.79766537,0.826848249,0.747081712,0.76459144,0.756809339,0.745136187,0.741245136,0.776264591,0.799610895,0.892996109,0.854085603
1.173151751,1.036964981,0.865758755,0.809338521,0.873540856,0.961089494,0.976653696,0.79766537,0.819066148,0.887159533,1.077821012
1.186770428,0.931906615,0.856031128,0.828793774,0.832684825,0.842412451,0.828793774,0.840466926,0.885214008,0.959143969,0.970817121
0.824902724,0.844357977,0.83463035,0.90077821,0.916342412,0.916342412,0.844357977,0.926070039,0.857976654,0.871595331,0.990272374
0.86381323,0.848249027,0.846303502,0.795719844,0.793774319,0.772373541,0.859922179,0.793774319,0.910505837,0.994163424,1.025291829
0.673151751,0.850194553,0.984435798,1.013618677,0.992217899,0.809338521,1.118677043,0.922178988,0.935797665,1.124513619,0.90077821
0.865765172,0.814973615,0.930408971,0.900395778,0.870382586,0.833443272,1.045844327,1.068931398,0.990435356,1.05969657,0.953496042
1.098944591,1.422163588,1.237467018,1.182058047,1.119722955,1.246701847,1.112796834,1.237467018,1.327506596,1.468337731,1.694591029
1.098944591,1.216688654,1.249010554,1.154353562,1.177440633,0.881926121,1.031992084,1.09201847,1.094327177,1.101253298,1.163588391
1.205145119,1.235158311,1.26055409,1.115105541,1.202836412,1.272097625,1.09201847,1.223614776,1.253627968,1.237467018,1.279023747
1.200527704,1.288258575,1.152044855,1.145118734,1.207453826,1.048153034,1.302110818,1.237467018,1.21207124,1.218997361,1.156662269
1.221306069,1.332124011,1.313654354,1.158970976,1.078166227,1.131266491,1.17974934,1.175131926,1.24439314,1.188984169,1.309036939
1.262862797,1.491424802,1.514511873,1.399076517,1.320580475,1.22823219,1.343667546,1.486807388,1.355211082,1.385224274,1.371372032
1.403693931,1.463720317,1.332124011,1.066622691,1.09201847,1.436015831,1.223614776,1.281332454,1.24439314,1.415237467,1.193601583
0.849093014,0.746815901,0.935932073,0.997684292,0.951370127,1.032419915,0.841373987,0.893477422,0.98031648,0.849093014,0.895407179
0.80856812,0.73523736,0.947510614,0.97452721,0.947510614,1.015052103,1.007333076,0.939791586,0.966808182,0.91277499,0.976456966
0.98031648,0.993824778,1.059436511,0.993824778,1.003473562,0.972597453,1.022771131,0.982246237,0.905055963,0.97452721,0.918564261
0.984175994,0.908915477,0.988035508,1.136626785,1.015052103,1.072944809,1.103820919,0.941721343,1.042068699,1.049787727,0.899266692
1.015052103,0.982246237,1.150135083,1.240833655,1.161713624,1.111539946,1.126978001,1.12118873,1.088382864,0.922423775,0.926283288
0.878039367,0.91277499,1.15206484,1.182940949,1.042068699,1.167502895,1.136626785,1.040138942,1.036279429,0.961018912,0.87610961
1.009262833,1.071015052,1.015052103,1.117329217,0.97452721,1.181011193,1.130837514,1.069085295,0.947510614,1.080663836,0.986105751
1.013122347,1.140486299,1.042068699,0.955229641,0.895407179,0.851022771,1.034349672,0.995754535,1.069085295,1.130837514,0.916634504
0.867425408,0.695170717,1.005844356,0.870501384,0.912027069,0.893571209,0.84743156,0.885881267,0.399876961,0.888957244,0.661334974
0.979698554,0.975084589,0.981236543,0.988926484,1.039680098,0.985850508,0.979698554,0.979698554,1.001230391,0.932020917,0.93817287
1.101199631,1.15656721,1.102737619,0.998154414,0.962780683,1.087357736,0.968932636,1.022762227,1.081205783,1.01968625,0.999692402
0.975084589,0.944324823,1.048908028,0.996616426,1.02891418,1.084281759,1.055059982,1.099661643,1.061211935,1.048908028,0.936634882
1.008920332,0.968932636,1.039680098,0.976622578,0.970470624,1.027376192,0.945862811,1.058135958,1.004306367,0.999692402,1.05659797
1.030452169,0.992002461,0.972008613,0.925868963,0.999692402,0.902799139,0.979698554,1.041218087,0.988926484,1.025838204,1.141187327
1.19347893,1.053521993,1.162719163,1.051984005,1.05659797,1.113503537,1.125807444,1.073515841,1.14733928,1.121193479,1.153491233
1.008920332,1.095047678,1.142725315,1.088895724,1.087357736,1.079667795,1.030452169,1.01968625,1.133497385,1.167333128,1.178099046
1.113991081,1.174470457,1.164715719,1.086677815,1.110089186,1.098383501,1.108138239,1.063266444,1.441750279,1.117892977,1.08277592
1.311036789,1.309085842,1.256410256,1.348104794,1.205685619,1.273968785,1.149108138,1.246655518,1.1803233,1.334448161,1.289576366
1.143255295,1.186176143,1.250557414,1.250557414,1.250557414,1.371516165,1.287625418,1.435897436,1.293478261,1.353957637,1.137402453
1.039855072,1.057413601,1.13154961,1.016443701,0.983277592,1.026198439,0.85451505,1.051560758,1.014492754,0.99303233,0.965719064
0.875975474,0.989130435,0.920847269,0.967670011,1.004738016,1.016443701,0.981326644,1.028149387,1.078874025,1.037904125,1.035953177
0.827201784,0.817447046,0.954013378,1.055462653,0.928651059,0.95206243,1.018394649,0.940356745,0.971571906,0.94425864,0.981326644
0.862318841,0.84671126,0.918896321,1.156911929,1.002787068,1.037904125,0.879877369,1.053511706,1.051560758,0.967670011,0.98522854
0.686733556,0.821348941,0.977424749,0.911092531,0.79793757,0.90328874,0.897435897,1.004738016,0.975473802,0.799888517,0.916945373
0.752305962,0.887289089,0.94128234,0.854893138,0.865691789,0.910686164,0.748706412,0.827896513,0.876490439,0.957480315,1.103262092
0.97007874,0.925084364,0.93768279,0.94848144,0.919685039,0.921484814,0.894488189,0.921484814,0.919685039,0.723509561,0.943082115
1.063667042,0.905286839,0.908886389,0.910686164,0.961079865,0.97727784,0.856692913,0.94848144,0.97007874,0.98447694,1.013273341
0.863892013,0.95568054,1.061867267,0.968278965,0.907086614,0.885489314,0.928683915,0.995275591,1.033070866,0.968278965,0.880089989
0.818897638,0.809898763,0.95208099,0.773903262,1.002474691,0.96287964,0.917885264,1.056467942,1.004274466,0.94488189,0.975478065
0.851293588,0.925084364,0.94848144,0.946681665,0.912485939,0.914285714,0.844094488,0.914285714,0.935883015,0.901687289,0.889088864
1.081664792,1.038470191,0.93048369,0.96287964,0.939482565,0.93408324,0.93768279,0.97007874,0.94128234,1.061867267,1.079865017
0.763104612,1.141057368,1.051068616,1.133858268,1.207649044,1.124859393,1.045669291,1.000674916,0.97367829,1.036670416,0.998875141
0.666666667,0.80651341,0.975095785,0.925287356,0.850574713,0.844827586,0.641762452,0.800766284,0.898467433,0.921455939,0.908045977
0.975095785,0.994252874,0.95210728,0.929118774,0.927203065,1.013409962,0.975095785,0.756704981,0.957854406,1.042145594,1.009578544
0.982758621,1.022988506,1.084291188,0.664750958,1.055555556,0.955938697,0.917624521,0.85440613,0.896551724,1.021072797,1.040229885
1.03256705,0.877394636,0.898467433,0.913793103,0.948275862,1.090038314,1.063218391,1.203065134,0.902298851,0.908045977,0.936781609
0.957854406,0.91954023,0.91954023,0.96743295,0.973180077,1.057471264,1,1.078544061,1.034482759,1.011494253,1.019157088
0.827586207,1.011494253,0.931034483,1.084291188,1.067049808,1.203065134,1.044061303,1.097701149,1.03256705,1.024904215,1.082375479
0.718390805,0.898467433,1.024904215,0.954022989,1.003831418,1.013409962,0.978927203,0.931034483,0.986590038,1.086206897,0.994252874
0.793103448,1.017241379,1.067049808,0.860153257,0.961685824,0.948275862,0.95210728,0.672413793,0.982758621,1.045977011,1.093869732
0.656871219,0.720829732,0.774416595,0.890233362,0.886776145,0.803802939,0.961106309,0.931719965,0.878133103,0.855661193,0.829732066
1.101123596,1.080380294,0.933448574,1.025064823,1.031979257,0.978392394,0.976663786,0.992221262,0.928262748,0.772687986,0.97147796
1.116681072,1.09593777,0.675885912,0.784788245,0.942091616,0.917891098,1.075194468,0.98357822,1.026793431,1.00605013,1.018150389
1.111495246,0.98357822,1.014693172,1.128781331,1.047536733,1.121866897,1.070008643,1.267070009,0.964563526,0.955920484,0.995678479
0.876404494,0.962834918,0.985306828,0.997407087,1.047536733,1.109766638,1.239412273,1.078651685,1.161624892,0.928262748,0.964563526
0.957649092,0.850475367,0.98357822,1.000864304,0.942091616,1.133967156,1.023336214,0.987035436,1.061365601,0.952463267,1.004321521
1.080380294,0.70008643,1.192739844,0.945548833,0.964563526,0.924805532,1.000864304,0.978392394,0.990492653,0.974935177,1.189282627
0.88159032,0.987035436,0.489196197,0.924805532,1.033707865,1.108038029,1.01642178,1.1633535,1.109766638,1.082108902,1.023336214
0.967388717,1.14068079,0.571292549,0.896929303,0.90073792,0.902642228,0.881694835,0.803618186,1.024517972,0.965484408,0.959771483
1.121637705,1.022613663,0.624613187,1.266365151,1.108307546,1.087360152,1.108307546,1.150202333,1.152106641,1.114020471,1.232087598
1.020709355,0.904546537,1.237800524,1.134967865,1.336824566,1.289216853,1.123542014,1.272078077,1.146393716,1.045465365,1.155915258
1.041656748,1.190192811,1.346346108,1.283503928,1.251130683,1.224470364,0.931206856,1.142585099,1.283503928,1.197810045,0.954058557
1.034039514,1.226374673,1.106403237,1.380623661,1.136872173,1.083551535,1.127350631,1.110211854,1.104498929,1.054986908,1.121637705
0.978814568,1.173054035,1.287312545,1.201618662,1.239704832,1.384432278,1.195905737,1.163532492,1.435848607,1.150202333,1.188288503
1.022613663,0.929302547,0.874077601,0.954058557,1.094977386,1.195905737,1.034039514,1.00166627,1.10259462,1.117829088,1.121637705
1.083551535,1.138776482,1.136872173,1.146393716,1.083551535,1.150202333,1.262556534,1.173054035,1.184479886,1.218757439,1.201618662
0.785352552,0.710557071,0.852356837,0.814959096,0.835216206,0.832099727,0.701207635,0.805609661,0.810284379,0.682508765,0.782236073
0.897545773,1.125048695,0.927152318,1.148422283,1.067393845,1.044020257,1.036229061,1.001947799,0.941176471,0.847682119,0.933385275
0.892871056,1.023763148,0.956758862,0.928710557,1.07674328,1.143747565,1.109466303,1.005064277,1.033112583,1.053369692,1.017530191
0.947409427,1.089209194,0.895987534,0.877288664,0.930268796,1.09700039,0.966108298,1.061160888,0.983248929,1.131281652,1.07674328
0.791585508,0.958317102,0.994156603,0.953642384,0.975457733,0.998831321,0.98013245,0.67315933,0.645111025,1.079859758,1.132839891
0.810284379,0.891312817,1.006622517,1.026879626,1.020646669,0.908453448,1.033112583,1.036229061,1.093883911,1.15465524,1.093883911
0.959875341,0.853915076,1.028437865,0.934943514,0.995714842,0.983248929,1.047136735,0.986365407,0.989481885,1.009738995,1.020646669
0.804051422,0.733930658,0.877288664,0.881963381,0.905336969,0.938059992,0.872613946,0.772886638,0.833657966,0.835216206,0.94273471